github	type	name	context
SarahBrown	training	Danny	"The turning point in ""The Matador"" comes about half through the movie when █████, an unsophisticated man from Denver, is sitting in the balcony of his Mexico City hotel, enjoying a quiet moment."
SarahBrown	validation	Danny	█████, who has come to sell his program to a Mexican company, but it seems he is competing against a local outfit that appears to be in the front for getting the contract.
SarahBrown	testing	Danny	It's not until some time later, on a cold winter night that the killer appears at █████'s door asking his friend to repay a favor and accompany him on a trip to Tucson.
SarahBrown	training	E. M. Forster	Because of the success of very British comedies of manners situated at the end or beginning of the Twentieth Century, most notably adaptations of █████████████ novels, this very Merchant-Ivory like production was received in the light it brought when it was released in 1992.
SarahBrown	training	Tatyana Samojlova	Winner of the golden palm at Cannes Film Festival, it has an excellent cinematography and performance by █████████████████, the only Russian actor ever to win an award in Cannes for a performance.
SarahBrown	validation	Veronika	She plays ████████, a teenager in love with her boyfriend, happy and without preoccupations, with plans of getting married.
SarahBrown	testing	Veronika	The first scene in the stairs is fantastic, but it isn't the only one, there is later a scene when Veronika attempts committing suicide, and another, in my opinion one of the most powerful scenes in movie history, the bombing of ████████'s house when she runs the stairs in the middle of fire, to find her apartment completely destroyed.
SarahBrown	training	Michael Mann	A few years ago, a friend got from one of his other friends a video with the ████████████ film 'Heat' on it.
SarahBrown	validation	Lars von Trier	██████████████ woke film noir from the dead, deconstructed reality with intentionally obvious sets, yet often there was haunting similarity with post-war German photographs I saw.
SarahBrown	testing	Werewolf	Our hero falls in love with his daughter - who later turns out to be a member of the ████████, Nazi post-war terrorists.
SarahBrown	training	Stardust	There are not many movies around that have given me a feeling like ████████ did all throughout the course of the film.
SarahBrown	validation	Stardust	As magically fairy-tale-like as The Princess Bride, ████████ is most definitely the most wonderful fantasy spectacle of the 2000's as well as the 1990's.
SarahBrown	training	IKWYDLS	 Another nice thing about this movie is that it's hard to pinpoint the surviving girl, unlike in SCREAM and ███████ where it was obvious.
SarahBrown	training	Carla	"The most interesting thing about this film for me is how sound is used to indicate when █████ can hear and when she can't -- a sort of ""point of hear"" (like point of view)."
SarahBrown	training	Majorcan	I must mention the excellent work done by the writers who adapted the novel and by all the actors, who managed to sound really ████████.
SarahBrown	training	Logan Bartholomew	"My favorite line in this movie is when █████████████████ says: ""rosy cheeks"", when he is talking about his baby daughter."
SarahBrown	training	Tom Noonan	The incredible performance by ██████████ is brilliant and provocative and the editing, sound design, cinematography and directing are truly inspired.
