training	image REDACTED role performance truly	14	image_1	role_1	Empty	could_AUX	not_PART	image_NOUN	in_ADP	a_DET	serious_ADJ	role_NOUN
training	Ill admit reluctant knew REDACTED able comedy	14	comedy_2	Ill_1	what_PRON	I_PRON	knew_VERB	of_ADP	he_PRON	was_AUX	only_ADV	able_ADJ
training	acting REDACTED carries thankless character perfectly	6	character_2	acting_1	is_AUX	all_PRON	up_ADP	to_AUX	and_CCONJ	he_PRON	carries_VERB	his_PRON
training	REDACTED finer draftsman brilliant artist age artists lifetime	7	draftsman_1	artist_1	Empty	Empty	Empty	Empty	was_AUX	a_DET	finer_ADJ	draftsman_NOUN
training	incredible performance REDACTED brilliant provocative editing sound design cinematography directing truly inspired	10	performance_1	sound_1	Empty	incredible_ADJ	performance_NOUN	by_ADP	is_AUX	brilliant_ADJ	and_CCONJ	provocative_ADJ
training	  Excellency Madam REDACTED worked countless movies life time	12	movies_1	life_1	Empty	Her_PRON	Excellency_PROPN	Madam_PROPN	has_AUX	worked_VERB	in_ADP	countless_ADJ
training	genres e deep meaningful alternative love story comic satire usually mix oil water REDACTED manages achieve balance near perfection	5	genres_1	love_1	and_CCONJ	water_NOUN	do_VERB	but_CCONJ	somehow_ADV	manages_VERB	to_PART	achieve_VERB
training	developing primary subject matter REDACTED manages achieve secondary theme skillfully	5	subject_1	matter_1	her_PRON	primary_ADJ	subject_NOUN	matter_NOUN	manages_VERB	to_PART	achieve_VERB	this_DET
training	legend goes REDACTED subjugates wife making walk Fire prove purity	3	legend_1	wife_1	Empty	Empty	legend_NOUN	goes_VERB	subjugates_VERB	his_PRON	wife_NOUN	by_ADP
training	REDACTED response cries leaves reuniting mother Earth	4	response_1	mother_1	Empty	Empty	Empty	Empty	in_ADP	response_NOUN	cries_NOUN	and_CCONJ
training	guess fact women applauded REDACTEDs work provided option think	8	fact_1	women_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	Bravo REDACTED translating vision clearly	8	vision_2	Bravo_1	Empty	Empty	Empty	to_PART	in_ADP	translating_VERB	her_PRON	vision_NOUN
training	especially like flashbacks young REDACTED trying ocean	5	flashbacks_1	ocean_1	flashbacks_NOUN	to_ADP	the_DET	young_ADJ	trying_VERB	to_PART	see_VERB	for_ADP
training	movie beautifully filmed enhanced musical score REDACTED	11	movie_1	score_1	the_DET	musical_ADJ	score_NOUN	by_ADP	Empty	Empty	Empty	Empty
training	REDACTED act	14	act_2	 _1	Empty	Empty	Empty	Empty	can_AUX	act_VERB	Empty	Empty
training	REDACTED Fire groundbreaking bold artistic	13	groundbreaking_2	 _1	Empty	Empty	Empty	Empty	Fire_PROPN	is_AUX	groundbreaking_ADJ	bold_ADJ
training	REDACTED music work genius plays role character film	13	music_1	work_1	Empty	Empty	Empty	Empty	music_NOUN	is_AUX	the_DET	work_NOUN
training	Water final Toronto based Indian film director REDACTEDs elemental trilogy finally completed years release controversial element Fire followed slightly lesser controversial sequel Earth	11	Water_1	film_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	International fame followed REDACTED release controversial Fire spread rage false patriotic consciousness existing Indian extremist	11	fame_1	release_1	Empty	Empty	fame_NOUN	followed_VERB	in_ADP	with_ADP	the_DET	release_NOUN
training	Having explored friendship women REDACTED Fire Mehta went step portray intimate relationship lonely neglected women	7	women_2	friendship_1	between_ADP	two_NUM	women_NOUN	in_ADP	in_ADP	Fire_PROPN	Mehta_PROPN	went_VERB
training	Set modern day India suburbs capital city New Delhi shows brothers wives elder brother REDACTED having joined weird Hindu sect leads life celibacy faithful guru sexless existence	20	day_1	suburbs_1	wives_NOUN	the_DET	elder_ADJ	brother_NOUN	having_AUX	joined_VERB	a_DET	weird_ADJ
training	  years later REDACTED second installment element mother earth released India Earth excellent movie great director time Hindi language unlike Fire English language	13	language_2	years_1	Empty	Two_NUM	years_NOUN	later_ADV	second_ADJ	installment_NOUN	was_AUX	the_DET
training	  REDACTED managed complete trilogy despite lot problems having released final installment recently Water	11	trilogy_1	lot_1	Empty	Empty	Empty	Now_ADV	has_AUX	managed_VERB	to_PART	complete_VERB
training	scene REDACTED loses virginity husband certainly kind Indian cinemas	11	scene_1	virginity_1	Empty	Empty	scene_NOUN	where_SCONJ	loses_VERB	her_PRON	virginity_NOUN	to_ADP
training	Good acting actors especially REDACTED amidst criticism Indian public	11	actors_1	criticism_1	all_DET	the_DET	actors_NOUN	especially_ADV	amidst_ADP	criticism_NOUN	from_ADP	the_DET
training	admire REDACTED movie masterpiece	11	movie_1	masterpiece_1	Empty	Empty	Empty	admire_VERB	and_CCONJ	this_DET	movie_NOUN	is_AUX
training	REDACTED cared find moment let know responsible deviant outlet blocked desires	4	moment_1	outlet_1	Empty	Empty	Empty	Empty	still_ADV	cared_VERB	enough_ADV	for_SCONJ
training	  final act rejection grandmother break free rusted mindset accept REDACTEDs desire	4	act_1	rejection_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	finally watched film REDACTEDs trilogy Fire	5	film_1	trilogy_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	  REDACTED brave lady sees clear eye jaundiced false repressive great society came	5	lady_1	eye_1	Empty	Empty	Empty	Empty	is_AUX	one_NUM	brave_ADJ	lady_NOUN
training	Worse like REDACTED courage hold mirror issues faces death threats	5	courage_1	mirror_1	Empty	if_SCONJ	someone_PRON	like_ADP	has_VERB	the_DET	courage_NOUN	to_PART
training	REDACTED clearly impatient totally rigid religious attitudes widows misery Water women enslaved loveless marriages Fire	5	attitudes_1	widows_1	Empty	Empty	Empty	Empty	is_AUX	clearly_ADV	impatient_ADJ	with_ADP
training	case REDACTEDs film moving powerful attempt sexual discourse holds modern Indian relationships probing scrutiny	5	case_1	film_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	REDACTED forcing issues looked matter flack	5	issues_1	flack_1	Empty	Empty	Empty	Empty	is_AUX	forcing_VERB	the_DET	issues_NOUN
training	REDACTED disturbing provocative taboo shattering	6	taboo_1	shattering_1	Empty	Empty	Empty	Empty	disturbing_VERB	provocative_ADJ	taboo_NOUN	shattering_NOUN
training	trailers looked good water theme giving bad flashbacks REDACTED movie dealt subject Waterworld	13	trailers_1	water_1	flashbacks_NOUN	to_ADP	the_DET	last_ADJ	movie_NOUN	that_PRON	dealt_VERB	with_ADP
training	Plus despite promise REDACTED showed Butterfly Effect m completely sold	14	promise_2	Plus_1	Empty	despite_SCONJ	the_DET	promise_NOUN	showed_VERB	in_ADP	The_DET	Butterfly_PROPN
training	movie immediately throws midst tense rescue mission gripped tighter REDACTED orange face lift	13	movie_1	rescue_1	was_AUX	gripped_VERB	tighter_ADJ	than_ADP	orange_ADJ	face_NOUN	lift_NOUN	Empty
training	Sunglasses tough guy toothpick mouth sportin smirk d REDACTED proud	14	Sunglasses_1	guy_1	smirk_NOUN	that_SCONJ	d_ADV	make_VERB	proud_ADJ	Empty	Empty	Empty
training	bad feeling pace slow REDACTED started training young guys contrary training sessions interesting aspect film	7	feeling_1	pace_1	slow_VERB	too_ADV	much_ADJ	when_SCONJ	started_VERB	training_VERB	the_DET	young_ADJ
training	REDACTED somewhat mis titled FIRE loosely connected trilogy linked theme elements symbolic consuming	13	trilogy_1	theme_1	Empty	Empty	Empty	Empty	somewhat_ADV	mis_PROPN	titled_VERB	FIRE_PROPN
training	husband married vivacious young woman REDACTED family obligation	4	husband_1	woman_1	a_DET	vivacious_ADJ	young_ADJ	woman_NOUN	out_ADP	of_ADP	family_NOUN	obligation_NOUN
training	arranged marriage uncomfortable beginning REDACTED makes attempt connect sullen husband	4	marriage_1	attempt_1	but_CCONJ	in_ADP	the_DET	beginning_NOUN	makes_VERB	an_DET	attempt_NOUN	to_PART
training	sees victim cared REDACTED continues affair liberal minded Chinese lady	4	victim_1	affair_1	have_AUX	cared_VERB	less_ADV	about_ADP	and_CCONJ	he_PRON	continues_VERB	to_PART
training	dead marriage sex purely meant produce children way REDACTED sexual emotional needs met	4	marriage_1	sex_1	there_PRON	was_VERB	no_DET	way_NOUN	could_AUX	have_VERB	any_PRON	of_ADP
training	way director REDACTED popular female director wonderful films EARTH BOLLYWOOD Hollywood	11	director_2	way_1	Empty	the_DET	way_NOUN	director_NOUN	a_DET	popular_ADJ	female_ADJ	director_NOUN
training	REDACTED film	11	film_2	 _1	Empty	is_AUX	my_PRON	first_ADJ	film_NOUN	Empty	Empty	Empty
training	REDACTEDs film bisexual ladies Indian middle class household sacrilege merely captures atrophy middle class homes aspire better immediate survival limited social space	5	class_2	film_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	Previous reviewer REDACTED gave better recap films plot details	16	reviewer_1	recap_1	Empty	Empty	Empty	reviewer_NOUN	gave_VERB	a_DET	much_ADV	better_ADJ
training	intelligent moving beautiful film study ways people react tradition reminds REDACTED novels	18	film_1	study_1	tradition_NOUN	reminds_VERB	me_PRON	of_ADP	novels_NOUN	Empty	Empty	Empty
training	happy REDACTED great	6	happy_1	 _1	happy_ADJ	to_PART	say_VERB	that_SCONJ	is_AUX	great_ADJ	in_ADP	this_DET
