github	type	name	context
SarahBrown	training	Aoki	The is certainly the case with ████.
SarahBrown	training	Al Gore's	"Scientists might well be disappointed as it is not a remake of █████████ documentary ""An inconvenient truth"" but frankly..."
SarahBrown	training	Erica	█████ is even better in this than in Traffic.
SarahBrown	training	Marion Davies	█████████████ should get a medal for bravery for taking a part where acting poorly in front of a camera is part of the role.
SarahBrown	training	Melvyn Douglas	██████████████ plays wry amusement to perfection as well, never hitting a single wrong note.
SarahBrown	training	Blandings	Every little problem that pops up for the █████████ renovation project--including petty jealousy and an ad campaign for 'Wham'--seems to bring together everything that *could* go wrong with building a new house but makes it believable and an enjoyable watch.
SarahBrown	training	Leonard Maltin	Well, I have to disagree with ██████████████ on this animated short.
SarahBrown	training	Maurice Richard	 Back in the 1950s, everyone in the Quebec provinces idolized the Montreal Canadians and their star player, ███████████████, and everyone wanted to be like him.
SarahBrown	training	Maltin	Maybe to someone who doesn't follow sports at all, like ██████, this situation seems odd and humorous to him...but it's a fact of life or any bit-time sports fan and his favorite team.
SarahBrown	training	Leonard Maltin's	"This movie was part of the DVD ""████████████████ Animation Favorites From The National Film Board Of Canada."
SarahBrown	training	Will Smith	for a tiny idea, pop like 50 hits of E, watch Death Factory while on the phone with Jesus, wait, Jesus is on call waiting, you're having phone sex with ██████████ on the primary line.
SarahBrown	training	Benny Hill	Back in those days (the 90's) their programming consisted of ██████████ reruns and the original MST3k, complete with bearded host.
SarahBrown	training	Simon Pegg	Forget about ██████████ in Hot Fuzz (for now.
SarahBrown	training	Frank Drebin	████████████ is clueless at most times, a terrible driver, a terrible shot, macho yet sensitive and vulnerable.
SarahBrown	training	Capt Drebin	███████████ (notice he's a Captain here) has perfected it.
SarahBrown	training	Lee-hom	In my opinion, ███████ is the best at playing a straight and realistic character.
SarahBrown	training	Gackt	However, any lack of acting ability on █████'s part is mostly masked by the fact that the character he plays is prone to being over-dramatic.
SarahBrown	training	Hyde	I wasn't sure if ████'s character was supposed to be as sulky and sarcastic as he came across, but it doesn't really detract from the movie either way.
SarahBrown	training	Michael Curtiz	Since the talkies are still quite young, the camera work is a little static, but ██████████████ does a good job directing the action.
SarahBrown	training	Powell	██████ played it the most (five times) and is the best fit for the role - very relaxed but serious at the same time.
SarahBrown	training	Harry Harrison's	"That question is at the heart of this admittedly somewhat dated but still intriguing film, based on ████████████████ 1966 novel ""Make Room!"
SarahBrown	training	Cotten	As it turns out, ██████ was on the board of directors of the Soylent Corporation, the people responsible for all those food stuffs that the people have to consume in lieu of the real thing.
SarahBrown	training	Edward G. Robinson	"He gets a lot of help from his slightly cantankerous but very astute ""book"" (██████████████████, in his 101st and final cinematic appearance), and a few timely reminders of what the world used to be like."
SarahBrown	training	Maclean	The ███████ family was comprised of four people, the father, a minister, who was ideologically driven to raise his family properly.
